电影名,状态,评分,星级,时长,上映时间,类型,制片国家,导演,演员,简介,评价人数
狗神,nowplaying,8.3,4.5,114分钟,2023-12-15(中国大陆)/2023-08-31(威尼斯国际电影节)/2023-09-27(法国)/2023-10-15(平遥国际电影展),剧情,法国 美国,吕克·贝松,卡莱伯·兰德里·琼斯 / 克里斯托弗·邓汉 / 马里莎·贝伦森,被暴戾的父亲伤害、被囚禁在狗笼生活数年的道格（卡莱伯·兰德里·琼斯 饰），长大后只能与他的数百只狗相互陪伴。然而命运对他的摧残从未停止，在经历了家庭、爱情、生存的一系列痛苦打击后，道格化身为最危险艳丽的“狗神”杀手，和他的狗群一起，向所有伤害过他的人发起了绝不饶恕的复仇与反抗......,21292
三大队,nowplaying,7.9,4.0,132分钟,2023-12-15(中国大陆)/2023-11-03(金鸡国产新片展),剧情/犯罪,中国大陆,戴墨,张译 / 李晨 / 魏晨,刑侦大队队长程兵（张译 饰）带领的三大队在办理一起恶性案件的过程中导致嫌犯之一意外死亡，被判入狱。出狱后依然坚持以普通人身份追踪在逃嫌犯。,59951
怒潮,nowplaying,,,106分钟,2023-12-16(中国大陆),剧情/动作/悬疑/犯罪,中国大陆,马浴柯,张家辉 / 阮经天 / 王大陆,横跨黑白两道只手遮天的洪泰集团正值换选之际，一个神秘杀手陈安（张家辉 饰）却突然只身闯入这个是非混乱的旋涡，搅得洪泰集团大乱。身处警察阵营的麦朗汶（阮经天 饰）和黑帮阵营的马文康（王大陆 饰）也盯上了他……各方势力伺机而动，谁才是幕后的操控者？一场生猛混战一触即发。,
名侦探柯南：黑铁的鱼影,nowplaying,6.7,3.5,110分钟,2023-12-16(中国大陆)/2023-04-14(日本),动作/动画/悬疑/惊悚/犯罪/冒险,日本,立川让,高山南 / 林原惠美 / 山崎和佳奈,故事发生在东京八丈岛近海，一座将全球各地警方监控相连接的高科技设施——“太平洋浮标”即将启动。为了与欧洲刑警组织管辖的范围联网，来自世界各地的工程师聚集在这里。基于人脸识别的全新“黑科技”也正在测试中……,36602
旺卡,nowplaying,7.6,4.0,116分钟,2023-12-08(中国大陆)/2023-12-06(中国台湾)/2023-12-15(美国),喜剧/歌舞/奇幻/冒险,美国 英国 加拿大,保罗·金,提莫西·查拉梅 / 奥利维娅·科尔曼 / 休·格兰特,影片聚焦经典之作《查理和巧克力工厂》的主人公威利·旺卡（提莫西·查拉梅 饰），这位年轻且天赋异禀的发明家、魔术师、巧克力制作师，是如何经历奇幻冒险，成长为观众挚爱的巧克力工厂掌门人的故事。,51017
涉过愤怒的海,nowplaying,7.5,4.0,144分钟,2023-11-25(中国大陆),剧情/悬疑/犯罪,中国大陆,曹保平,黄渤 / 周迅 / 祖峰,老金（黄渤 饰）为供女儿金丽娜（周依然 饰）留学终日捕鱼，却换来女儿身中17刀离奇身亡的死讯，最大嫌疑人则指向她的男友李苗苗（张宥浩 饰）。愤怒的老金踏上跨海寻仇之路，李苗苗却在母亲景岚（周迅 饰）的庇护下不断潜逃……这场人性迷局中，究竟谁能抵达爱与宽恕的彼岸？,268633
瞒天过海,nowplaying,6.3,3.5,105分钟,2023-12-08(中国大陆),剧情/悬疑/犯罪,中国大陆,陈卓,许光汉 / 张钧甯 / 惠英红,贪婪无厌的警长郑威（许光汉 饰）得知富商之妻乔文娜（张钧甯 饰）蒙冤卷入一场密室谋杀案后主动登门交易，索要巨额钱财帮她洗脱罪名。随着交易展开，竟意外牵连出另一起凶杀案，丈夫失踪的虹姐（惠英红 饰）自曝被强权欺压，走投无路的她向杀害丈夫的议员之子明浩（尹正 饰）绝望复仇……,36452
照明商店,nowplaying,6.5,3.5,99分钟,2023-12-08(中国大陆),剧情/悬疑/奇幻,中国大陆,蔡耳朵,章若楠 / 白宇帆 / 刘奕君,深巷的尽头，一间“照明商店”长年亮着灯，神秘的老板（刘奕君 饰）细心擦拭着每一个灯泡，形形色色的客人络绎不绝。护士许念（章若楠 饰）和男友郑满（白宇帆 饰）新搬进了商店附近的公寓。她渐渐发现，这里的每一个人，心底都有一个不可言说的秘密。暴风雨之夜，她走进了巷尾的照明商店，答案渐渐被揭开……,29675
爆裂点,nowplaying,6.5,3.5,138分钟,2023-12-08(中国大陆),动作/犯罪,中国香港 中国大陆,林超贤 唐唯瀚,张家辉 / 陈伟霆 / 梁洛施,缉毒总督察李振邦（张家辉 饰）和卧底警员江铭（陈伟霆 饰）秘密执行追捕毒贩计划，无奈遭遇险境，江铭被迫游走黑白边缘，逐渐失控。为坚守底线，昔日队友互生杀意。猜忌、愤怒、疯狂、失望……全员丧失理智，濒临崩溃边缘！,22957
月光武士,nowplaying,,,110分钟,2023-12-15(中国大陆)/2023-11-03(金鸡国际影展),剧情,中国大陆,虹影,左航 / 冯家妹 / 白恩,影片根据虹影同名长篇小说改编，以重庆“山城”为地理背景，讲述了在1976年，12 岁少年窦小明因受伤进了医院，认识了对他照顾和关爱有加的护士佳惠。佳惠生得美貌，却嫁给当地混社会的青年钢哥，常常遭受家暴。窦小明得知此事后站出来打抱不平，从此改变了他们三人的命运。,
饥饿游戏：鸣鸟与蛇之歌,nowplaying,7.0,3.5,158分钟,2023-11-17(美国/中国大陆)/2023-11-15(法国),剧情/动作/科幻/惊悚/战争/冒险,美国,弗朗西斯·劳伦斯,汤姆·布莱斯 / 瑞秋·齐格勒 / 彼特·丁拉基,18岁的科里奥兰纳斯·斯诺（汤姆·布莱斯 饰）被选为第十届饥饿游戏的导师，与来自第十二区的贫困女孩露西·格蕾·贝尔德（瑞秋·齐格勒 饰）成为了“生死相依”的命运共同体。竞技场上，这是一场关乎自由、食物，甚至是尊重与权利的生死角逐；竞技场外，不忍与善意使斯诺决定不顾一切帮助露西在这场游戏中赢得胜利......当活下去的欲望与所遵守的规则背道而驰，命运的齿轮紧抓入自己手中时，他又该如何抉择？,52976
我本是高山,nowplaying,,,131分钟,2023-11-24(中国大陆),剧情/传记,中国大陆,郑大圣 杨瑾,海清 / 陈永胜 / 柴烨,这是一个坚毅的女人和一群刚刚毕业还很稚嫩的老师，带着一百多个女孩成功逆天改命的故事，是关于爱、青春、热血和命运……,
再见，李可乐,nowplaying,6.7,3.5,105分钟,2023-12-01(中国大陆),剧情,中国大陆,王小列,闫妮 / 谭松韵 / 吴京,为了完成女儿李妍（谭松韵 饰）高三前的小小心愿，父亲李博宇（吴京 饰）决心带着女儿远赴阿勒泰滑雪。却不料李博宇遭遇意外，全力抢救后仍陷入脑死亡的处境，让为妻为母的潘雁秋（闫妮 饰）做出了一个女人最艰难的决定。当家渐渐失温，一只名为可乐的小狗带着倔强闯入了她们的生活，成为母女争执的焦点，也成为苦乐烟火的陪伴。如何在伤痛后放下悔与执？如何在成长中习得爱与勇？当往日的困境重现，她们的人生，又是否有无憾的选择？,23244
河边的错误,nowplaying,7.3,4.0,102分钟,2023-10-21(中国大陆)/2023-05-20(戛纳电影节)/2023-10-11(平遥国际电影展),剧情/犯罪,中国大陆,魏书钧,朱一龙 / 曾美慧孜 / 侯天来,影片改编自余华同名先锋代表作，看似是马哲（朱一龙 饰）在找寻凶案的真相，但故事没有答案，因为命运的看法比我们更准确……,288791
拿破仑,nowplaying,6.5,3.5,157分钟(中国大陆),2023-12-01(中国大陆)/2023-11-22(美国),剧情/动作/传记/历史/战争/冒险,英国 美国,雷德利·斯科特,华金·菲尼克斯 / 凡妮莎·柯比 / 塔哈·拉希姆,影片讲述了法国皇帝拿破仑（华金·菲尼克斯 Joaquin Phoenix 饰）从士兵到帝王波澜壮阔的一生，展现了拿破仑非凡的军事才能和战略远见。并通过他与其唯一挚爱约瑟芬（凡妮莎·柯比 Vanessa Kirby 饰）之间复杂纠葛的传奇情史，揭露了拿破仑鲜为人知的内心世界。,35688
蜡笔小新：新次元！超能力大决战,nowplaying,8.1,4.0,94分钟,2023-11-25(中国大陆)/2023-08-04(日本),喜剧/动画,日本,大根仁,小林由美子 / 楢桥美纪 / 森川智之,故事讲述住在诺斯特拉达姆斯邻镇的努斯特拉达马斯留下了一个预言：“在 20 和 23 并列的年份，天上会降下两道光芒。一道是黑暗之光，另一道是小小的白光……不久，黑暗之光就会拥有强大的力量，扰乱和平，给世界带来巨大的混乱。”,22166
热搜,nowplaying,6.3,3.5,121分钟,2023-11-30(中国大陆)/2023-07-31(FIRST青年电影展),剧情/犯罪,中国大陆,忻钰坤,周冬雨 / 宋洋 / 袁弘,热搜背后，真相究竟是什么？,25981
飞鸭向前冲,nowplaying,,,82分钟,2023-12-08(中国大陆)/2023-12-22(美国),喜剧/动作/动画/奇幻/冒险,美国 法国 加拿大,本杰明·雷内 盖洛·霍姆西,库梅尔·南贾尼 / 伊丽莎白·班克斯 / 科甘-迈克尔·凯,飞鸭马拉德一家向南迁徙前往热带的牙买加，却意外闯入疯狂大都市纽约？在紧张刺激的飞行之旅中，他们将如何化险为夷？,
星愿,nowplaying,6.7,3.5,95分钟,2023-11-24(中国大陆)/2023-11-22(美国),喜剧/动画/歌舞/奇幻/冒险,美国,克里斯·巴克 弗恩·维拉桑托恩,阿丽亚娜·德博斯 / 克里斯·派恩 / 艾伦·图代克,在位于伊比利亚半岛外有一片梦幻之地，17岁的亚莎（阿丽亚娜·德博斯 Ariana DeBose 配音）和她的宠物山羊生活在被称为愿望王国的罗萨斯，人们从四面八方来到这里，向一位神奇的国王麦尼菲科（克里斯·派恩 Chris Pine 配音）表达他们的愿望，后者承诺有一天会满足他们最深的愿望，而只有他才能决定哪些愿望将在何时实现。机敏的的理想主义者阿莎许下了一个尤其强大的愿望，得到了宇宙力量的回应——一个被称为星星的充满无限能量的小球。阿莎和星星一同面临最强大的敌人，推翻麦尼菲科的统治以拯救她的社区，并证实当一个勇敢之人的意志与星星的魔力相结合后，奇妙的事情就会发生。,17826
刀尖,nowplaying,6.0,3.0,121分钟,2023-11-24(中国大陆),剧情/悬疑,中国大陆,高群书,张译 / 黄志忠 / 郎月婷,1940年，多方势力盘踞南京，特工金深水（张译 饰）终日周旋于日本军方、汪伪政府和军统之间，如同行走于刀尖一般，有着多重身份的他，在满目疮痍的南京城里小心翼翼地活着，隐藏着真实的自己，也寻找着自己乃至整个民族的生路。直到他遇到了和他一样心怀国仇家恨、却似乎比他更游刃有余的林婴婴（郎月婷 饰），在和她并肩作战与各方势力展开明争暗斗的过程中，于乱世中求生的金深水第一次开始真正地觉醒……,16917
红猪,nowplaying,8.6,4.5,94分钟,2023-11-17(中国大陆)/1992-07-18(日本),喜剧/动画/冒险,日本,宫崎骏,森山周一郎 / 加藤登纪子 / 冈村明美,罗森是一战中意大利空军的王牌飞行员，但却被施了魔法变了一头猪。虽然变了猪，但罗森还是继续他的老本行，成了一位赏金猎人，专门打击在亚地里亚海空域作恶的空中劫匪。红猪侠一时威名远扬，令劫匪们闻风丧胆。匪徒们为了对付罗森，请来了超级飞行员卡基斯。卡基斯在与罗森对决中趁他发动机故障将其击落。罗森把飞机送到老朋友比克罗处修理时，遇上了比克罗的孙女菲欧。菲欧帮罗森修好了飞机，两人一起再度翱翔蓝天对付空中劫匪。,250206
无价之宝,nowplaying,6.5,3.5,132分钟,2023-11-10(中国大陆)/2023-11-01(金鸡国产新片展),剧情/喜剧/家庭,中国大陆,张大鹏,张译 / 潘斌龙 / 周依然,“石头”石振邦（张译 饰）和杨武（潘斌龙 饰）这对落魄兄弟经营五金店艰难维生，为追讨欠款，他们不得不暂时照看欠债人的孩子芊芊。两人在与芊芊的相处中从最初嫌弃“拖油瓶”竟潜移默化地转变成千方百计“为女儿战斗”，生活粗放的他们内心也变得越来越柔软……,33612
前任4：英年早婚,nowplaying,5.7,3.0,129分钟,2023-09-28(中国大陆),喜剧/爱情,中国大陆,田羽生,韩庚 / 郑恺 / 于文文,孟云（韩庚 饰）和余飞（郑恺 饰）这对难兄难弟，在历经情场的洗礼之后，终于来到了谈婚论嫁的年纪。正在经历“分手后遗症”的孟云，面对家人的催促，带着“为什么要结婚”的疑问，开始寻找真爱；而余飞和女友丁点（曾梦雪 饰）为了应对结婚后即将产生的各种情况，自创了“结婚冷静期”，将婚后生活提前预演。两兄弟开启一场全新的爱情挑战……,102247
沉默笔录,nowplaying,6.9,3.5,91分钟,2023-12-01(中国大陆)/2023-10-14(平遥国际电影展),剧情/悬疑/犯罪,中国大陆,郝飞环,章宇 / 马吟吟 / 孙敏,平西镇位于西南某地，90年代乡镇治安由联防队维护，联防队长李立忠（章宇 饰）的父亲意外死亡，与此同时镇里发生诡异的连环杀狗案，李立忠带领队员通过蹩脚的探案手法进行调查，通过一系列荒诞行动，李立忠发现杀狗案竟与父亲的死亡有千丝万缕的关系。在那个野蛮生长的时代下，面对真相的李立忠只能以沉默作答。,5150
仲肯,nowplaying,,,87分钟,2023-12-11(中国大陆)/2023-11-02(厦门金鸡影展),剧情,中国大陆,邢潇,李泰 / 周静波,影片讲述了一个名叫仲肯的汉族男人，在藏区流浪多年，执着地想要成为格萨尔王传世故事的颂唱艺人“仲肯”，但终因路途所遇人与事，渐渐放下执念，回归自我的故事。,
不要走散好不好,nowplaying,,,99分钟,2023-12-01(中国大陆),爱情,中国大陆,郑来志 阿猛,徐若晗 / 张开泰 / 秦奋,和你走到最后就是我最大的愿望。大大咧咧的夏末（徐若晗 饰）和温润内敛的初秋（张开泰 饰）见证了彼此美好的青葱岁月，陪伴对方度过了很多难忘的瞬间，有青梅竹马的默契，有抵抗现实的勇气。他的爱意轰轰烈烈，她的喜欢坚定不移，或许真爱之路并不平坦，误解和错过一度让两个相爱的人走到分开的边缘。可是对的人，又怎么会走散呢？,
诡摇铃,nowplaying,,,85分钟,2023-12-08(中国大陆),惊悚/恐怖,中国大陆,毕鉴威,邱意浓 / 丁圣霏 / 廖茉汐,影片讲述邱意浓饰演的美艳女医生误入诡宅后遇到的一系列灵异案件，晶女郎和民国恐怖元素双重 buff叠加，看点十足。,
二手杰作,nowplaying,6.7,3.5,114分钟,2023-10-27(中国大陆),剧情/喜剧,中国大陆,王子昭,于和伟 / 郭麒麟 / 倪虹洁,这是一个关于“儿子‘死’了，爸爸‘红’了”的荒诞故事。儿子坠楼“自杀”，父亲替儿子写了一封才华横溢的代笔遗书，竟然一夜成名……,36928
吾爱敦煌,nowplaying,7.1,3.5,101分钟,2023-11-17(中国大陆)/2023-06-10(上海国际电影节),剧情/传记/历史,中国大陆,苗月,陈瑾 / 林永健 / 黄品沅,影片记述了“敦煌女儿”，国家荣誉称号获得者樊锦诗坚守大漠，守护世界宝藏莫高窟的壮丽人生故事。,2449
最后一夜,nowplaying,,,89分钟,2023-12-08(中国大陆)/2022-11-04(重庆青年电影展),剧情/爱情,中国大陆,唐皓,蒋中炜 / 蔡雪晴 / 王若珊,情人节，对于陈良古（蒋中炜 饰）来说不过是无数个工作日的其中一天，避开对自己爱理不理的妻子，躲到对自己关爱有加的情人家里享受片刻的温存，是他再平常不过的生活轨迹。然而今天，他却接二连三的遭遇意外，原来每个人都藏着一个冷暖自知的秘密，每个人都在茫然的摸索着生活的方向。车子在这喧嚣与宁静更迭交替的大都市里不断前行，却始终开不到目的地，正如他们在各自人生的地图上， 像个迷失方向的路盲。,
靠近我一点,nowplaying,4.1,2.0,94分钟,2023-11-24(中国大陆),爱情,中国大陆 中国香港,夏永康,张震 / 春夏 / 李现,等一个人很久会有结果吗？等了初恋男友10年的林楚楚（春夏 饰），最终等来的是男友和别人的婚礼。正当她对感情失去信心的时候，婚礼策划师张扬（张震 饰）和高富帅男神于可风（李现 饰）同时出现在楚楚的生活中，陪她走出了这段黑暗时光。,1166
铃芽之旅,nowplaying,7.2,4.0,122分钟(中国大陆),2023-03-24(中国大陆)/2022-11-11(日本),爱情/动画/奇幻,日本,新海诚,原菜乃华 / 松村北斗 / 深津绘里,宁静的九州乡间小镇，生活着平凡的少女岩户铃芽（原菜乃华 配音）。这天上学路上，她邂逅了神秘的白衣青年宗像草太（松村北斗 配音）。草太的言行举止引起了铃芽的好奇，她随着这个青年来到了一处废墟，并看到了一扇在水中央突兀伫立的门。懵懵懂懂，铃芽无意间解开了某个古老封印。在此之 后，一场地震突发，而偏偏只有铃芽才能看见地震前发生的诡异现象。随后这个惶恐的女孩才发现，草太原来是有着古老传承的闭门师，他巡游日本各地正是为了阻止更大的灾难发生。,422227
迷你特工队之汉堡大作战,nowplaying,,,,2023-11-11(中国大陆),动画/奇幻,中国大陆,,,蓝玲市正在面临空前危机。汉堡军团在城市街头四处作乱，破坏街道和建筑，让市民们苦不堪言，但迷你特工队却爆发了激烈的内部矛盾。这一切是由于队长福乐偶然成为了汉堡店的超级模特，难以兼顾迷你特工队的集体任务。小米与福乐为此爆发了激烈的争吵，福乐宣告退出迷你特工队，与伙伴们不欢而散。汉堡店的老板金先生更是从中作梗：“我认为好朋友之间，就应该互相鼓励支持。”在危机之际，福乐终于悔悟，重新加入战斗，迷你特工队得以再度集结并肩作战。联手击败汉堡怪物队长后，整起事件背后真正的幕后黑手也终于出现在迷你特工队面前……,
汪汪队立大功大电影2：超能大冒险,nowplaying,7.5,4.0,88分钟,2023-09-29(美国/中国大陆),剧情/喜剧/动作/科幻/动画/奇幻/冒险,美国 加拿大,卡尔·布伦克尔,麦肯娜·格瑞丝 / 塔拉吉·P·汉森 / 马尔赛·马丁,一颗陨石从天而降，汪汪队基地惨遭破坏，因祸得福的是，汪汪队通过陨石获得了超能力！变成超能狗狗！能随心飞的天天、有飞毛腿的阿奇、是万人迷的灰灰、会霹雳火的毛毛、成大力士的小砾、不怕风浪的路马……莱德队长还给汪汪队升级了全新的装备，并招募汪汪预备队的三只小狗，共同保护冒险湾！但与此同时，一位邪恶的科学家也盯上了陨石中的超能力，她联合了汪汪队的死对头海丁那市长，试图夺取汪汪队的超能力，并让更多的陨石撞上地球！汪汪队集体出动，勇敢狗狗，不怕困难！汪汪队能否再次拯救世界？,5155
最好的相遇,nowplaying,6.3,3.5,110分钟,2023-10-20(中国大陆)/2023-07-24(FIRST青年电影展),剧情/爱情,中国大陆,哈智超,金世佳 / 邱泽 / 张钧甯,人生失意的B超师曹卢医（金世佳 饰）经人介绍来到了东山庭院疗养院工作。在这里，曹卢医看到了另一个如世外桃源般不同寻常的世界，也结识了刘英俊（邱泽 饰）和吴燕子（张钧甯 饰）这一对特殊的恋人。他们笨拙却无比坚定的爱情慢慢改变了隐藏着秘密的曹卢医。而直到一场意外的降临，让所有人都陷入了艰难的抉择……,5123
千里送鹤,nowplaying,,,90分钟,2023-11-16(中国大陆)/2022-07-30(FIRST青年电影展),剧情/儿童,中国大陆,拉华加,周拉多杰 / 朋毛样专 / 尕斗扎西,影片讲述了一个青海高原藏区村落，少年多杰和姐姐格桑与奶奶一同生活。早年失去妈妈的姐弟俩渴望获父亲的陪伴，但父亲一直在外忙碌，很少回家。一天，姐弟俩偶遇一只受伤的小黑颈鹤，善良的他们将其带回家照顾。冬季将至，没有亲鸟的带领，小鹤无法完成迁徙，姐弟俩决定骑摩托送它前往云南越冬地。而父亲听闻孩子们擅自离家，也立刻南下寻找。这趟艰险的旅途，注定将是一家三口的成长之旅，促使他们重新审视亲情的涵义……,
我是哪吒2之英雄归来,nowplaying,2.4,1.5,85分钟,2023-09-29(中国大陆),剧情/喜剧/动画/奇幻,中国大陆,文帝 陈朝意 ,王薇 / 藤新 / 傅晨阳,陈塘关大战后哪吒和龙王三太子同归于尽，太乙真人将哪吒的仙体带回乾元山，等待时机将哪吒重生来帮助姜子牙封神伐纣。在重生的紧要关头哪吒却落入申公豹和东海龙王精心布置好的巨大阴谋之中。哪吒能否打破申公豹的魔咒？能否成为真正的英雄？哪吒艰难的重生之路即将开启，英雄归来之战一触即发……,4059
贝肯熊：火星任务,nowplaying,7.2,3.5,96分钟,2023-09-28(中国大陆),喜剧/科幻/动画/冒险,中国大陆,王超 ,梁晓强 / 巴赫 / 张东,最倒霉的特工贝肯熊，为了重获认可，偷偷混入火星任务，不料却闯进了火星里的神秘世界，和要抓捕的火星怪物成为了朋友。在特工荣誉和友情之间，他将面临一场前所未有的考验。,3610
功夫王之萌虎上山,nowplaying,,,82分钟,2023-09-29(中国大陆),喜剧/动画/奇幻/冒险,中国大陆,,,一夜之间，虎门武馆馆主惨遭毒手，少馆主乐乐也被神秘人物追杀，为报父仇和查清事情背后的真相，乐乐带着小伙伴毅然踏上前往功夫山的征程，前方的路会是一马平川的坦途吗？,
海王2：失落的王国,upcoming,,,125分钟,2023-12-15(中国大陆)/2023-08-31(威尼斯国际电影节)/2023-09-27(法国)/2023-10-15(平遥国际电影展),剧情,美国,温子仁,杰森·莫玛 / 帕特里克·威尔森 / 安珀·赫德,被暴戾的父亲伤害、被囚禁在狗笼生活数年的道格（卡莱伯·兰德里·琼斯 饰），长大后只能与他的数百只狗相互陪伴。然而命运对他的摧残从未停止，在经历了家庭、爱情、生存的一系列痛苦打击后，道格化身为最危险艳丽的“狗神”杀手，和他的狗群一起，向所有伤害过他的人发起了绝不饶恕的复仇与反抗......,21298
爱乐之城,upcoming,,,128分钟,2023-12-15(中国大陆)/2023-11-03(金鸡国产新片展),剧情/犯罪,美国,达米恩·查泽雷,瑞恩·高斯林 / 艾玛·斯通 / 约翰·传奇,刑侦大队队长程兵（张译 饰）带领的三大队在办理一起恶性案件的过程中导致嫌犯之一意外死亡，被判入狱。出狱后依然坚持以普通人身份追踪在逃嫌犯。,59964
敦煌英雄,upcoming,,,,2023-12-16(中国大陆),剧情/动作/悬疑/犯罪,中国大陆,曹盾,章宇 / 窦骁 / 吕凉,横跨黑白两道只手遮天的洪泰集团正值换选之际，一个神秘杀手陈安（张家辉 饰）却突然只身闯入这个是非混乱的旋涡，搅得洪泰集团大乱。身处警察阵营的麦朗汶（阮经天 饰）和黑帮阵营的马文康（王大陆 饰）也盯上了他……各方势力伺机而动，谁才是幕后的操控者？一场生猛混战一触即发。,
人民万岁,upcoming,,,,2023-12-16(中国大陆)/2023-04-14(日本),动作/动画/悬疑/惊悚/犯罪/冒险,中国大陆,郝蕴,,故事发生在东京八丈岛近海，一座将全球各地警方监控相连接的高科技设施——“太平洋浮标”即将启动。为了与欧洲刑警组织管辖的范围联网，来自世界各地的工程师聚集在这里。基于人脸识别的全新“黑科技”也正在测试中……,36612
潜行,upcoming,,,114分钟,2023-12-08(中国大陆)/2023-12-06(中国台湾)/2023-12-15(美国),喜剧/歌舞/奇幻/冒险,中国大陆 中国香港,关智耀,刘德华 / 林家栋 / 彭于晏,影片聚焦经典之作《查理和巧克力工厂》的主人公威利·旺卡（提莫西·查拉梅 饰），这位年轻且天赋异禀的发明家、魔术师、巧克力制作师，是如何经历奇幻冒险，成长为观众挚爱的巧克力工厂掌门人的故事。,51019
年会不能停！,upcoming,,,117分钟,2023-11-25(中国大陆),剧情/悬疑/犯罪,中国大陆,董润年,大鹏 / 白客 / 庄达菲,老金（黄渤 饰）为供女儿金丽娜（周依然 饰）留学终日捕鱼，却换来女儿身中17刀离奇身亡的死讯，最大嫌疑人则指向她的男友李苗苗（张宥浩 饰）。愤怒的老金踏上跨海寻仇之路，李苗苗却在母亲景岚（周迅 饰）的庇护下不断潜逃……这场人性迷局中，究竟谁能抵达爱与宽恕的彼岸？,268635
金色面具英雄,upcoming,,,,2023-12-08(中国大陆),剧情/悬疑/犯罪,中国大陆 加拿大,肖恩·帕特里克·奥赖利,朗·普尔曼 / 帕顿·奥斯瓦尔特 / 克里斯托弗·普卢默,贪婪无厌的警长郑威（许光汉 饰）得知富商之妻乔文娜（张钧甯 饰）蒙冤卷入一场密室谋杀案后主动登门交易，索要巨额钱财帮她洗脱罪名。随着交易展开，竟意外牵连出另一起凶杀案，丈夫失踪的虹姐（惠英红 饰）自曝被强权欺压，走投无路的她向杀害丈夫的议员之子明浩（尹正 饰）绝望复仇……,36453
金手指,upcoming,,,125分钟,2023-12-08(中国大陆),剧情/悬疑/奇幻,中国香港 中国大陆,庄文强,梁朝伟 / 刘德华 / 蔡卓妍,深巷的尽头，一间“照明商店”长年亮着灯，神秘的老板（刘奕君 饰）细心擦拭着每一个灯泡，形形色色的客人络绎不绝。护士许念（章若楠 饰）和男友郑满（白宇帆 饰）新搬进了商店附近的公寓。她渐渐发现，这里的每一个人，心底都有一个不可言说的秘密。暴风雨之夜，她走进了巷尾的照明商店，答案渐渐被揭开……,29677
一闪一闪亮星星,upcoming,,,107分钟,2023-12-08(中国大陆),动作/犯罪,中国大陆,陈小明 章攀,屈楚萧 / 张佳宁 / 傅菁,缉毒总督察李振邦（张家辉 饰）和卧底警员江铭（陈伟霆 饰）秘密执行追捕毒贩计划，无奈遭遇险境，江铭被迫游走黑白边缘，逐渐失控。为坚守底线，昔日队友互生杀意。猜忌、愤怒、疯狂、失望……全员丧失理智，濒临崩溃边缘！,22958
非诚勿扰3,upcoming,,,,2023-12-15(中国大陆)/2023-11-03(金鸡国际影展),剧情,中国大陆,冯小刚,葛优 / 舒淇 / 范伟,影片根据虹影同名长篇小说改编，以重庆“山城”为地理背景，讲述了在1976年，12 岁少年窦小明因受伤进了医院，认识了对他照顾和关爱有加的护士佳惠。佳惠生得美貌，却嫁给当地混社会的青年钢哥，常常遭受家暴。窦小明得知此事后站出来打抱不平，从此改变了他们三人的命运。,
